make,pred_price
Toyota,9024.244268008984
Land Rover,9024.029254910323
CHRYSLER,9006.144861251682
mercedes-benz,8934.07996376234
Mercedes-benz,8908.24496544456
Lincoln,8895.24655206656
RAM,8891.56775047883
unknown,8861.930902546806
Freightliner,8854.884174976136
Maserati,8825.047194278646
Mercedes,8814.443179881871
Ram,8814.297254061512
International,8812.37133817185
GMC,8804.940237815892
Suzuki,8802.75790337162
Hummer,8801.765884279024
Lexus,8793.270201077825
Mercedes Benz,8784.796210978066
cadillac,8783.31644393408
toyota,8755.0706429872
INFINITI,8746.004805123192
pontiac,8740.314310569705
Pontiac,8739.14450639635
Jaguar,8698.674556847913
CHEVROLET,8681.237719014869
Acura,8672.289375621842
Dodge,8623.709994831994
Cadillac,8602.704819700382
chevrolet,8591.249162437489
Mercedes-Benz,8567.936930581838
Ford,8556.222708993295
Mazda,8550.26329901765
NISSAN,8547.597204565547
Audi,8544.106040940325
Infiniti,8542.79650511857
Jeep,8511.561438228457
Hyundai,8454.507217725879
Chevrolet,8442.435953429971
Chrysler,8437.090277472727
Subaru,8431.5626372491
jeep,8377.443580165076
BMW,8371.811967089327
Tesla,8336.800110113203
ford,8251.306775717672
Buick,8209.905861997004
Honda,8174.291741430014
chrysler,8135.487699721401
JEEP,8118.169379596683
Kia,8115.705039197238
chevy,8098.419049996281
mazda,8093.642888258157
Mitsubishi,8093.642888258157
lexus,8087.223161457756
Chevy,8062.903758520293
volvo,8056.729825302289
tesla,8033.496699463138
Scion,8006.881070591068
Mercury,8000.571455065692
bmw,8000.24489351856
SUBARU,7995.280411753445
TESLA,7987.102524919126
Mini,7973.752116478754
volkswagen,7966.8044854569725
VW,7958.329100489082
Volkswagen,7953.763044875704
Fiat,7926.780884807383
Saab,7898.7225812779125
AMC,7867.528549237627
kia,7798.82659715458
hyundai,7767.238389881536
Nissan,7677.4890613318175
FORD,7635.255799144161
honda,7623.544975672573
nissan,7595.058298315824
TOYOTA,7580.246043328333
ACURA,7548.242703071412
dodge,7397.365456086083
HONDA,7329.218831239309
acura,7308.283126941041
subaru,7285.417188607741
Volvo,7226.833598581261
