make,pred_price
Land Rover,9140.127342386233
cadillac,9123.36867344535
unknown,9085.135953342298
Hummer,9030.357527428037
RAM,9024.84173419227
Freightliner,8994.977273677106
Toyota,8993.437658051273
Suzuki,8987.788695455924
Maserati,8985.89440354639
Dodge,8971.219263153149
Mercedes-benz,8960.863824785722
chevrolet,8942.244761673739
mercedes-benz,8930.401019150208
Mercedes Benz,8927.8459544488
pontiac,8916.31296035695
NISSAN,8903.389533734426
International,8900.125736313008
Lincoln,8859.24766090642
CHRYSLER,8857.31469961801
Cadillac,8851.897120695201
toyota,8832.617690382971
Mercedes,8808.796775112469
Pontiac,8790.186981741797
Lexus,8760.811995142598
Scion,8730.640058470688
GMC,8724.839153636774
INFINITI,8720.398983727264
Mercedes-Benz,8707.074669606562
Mazda,8697.643525921332
Ram,8690.498809539256
AMC,8683.997401454282
lexus,8662.56783126387
bmw,8643.717023969359
Saab,8635.861035393635
Ford,8628.816827843018
chrysler,8597.22184184746
Jeep,8593.362339729663
Chrysler,8580.205932701696
Mitsubishi,8568.95161893529
mazda,8568.928014520863
Hyundai,8556.255075155856
volkswagen,8552.962360046946
Audi,8548.59940835678
volvo,8548.193062824239
JEEP,8547.776770026168
Acura,8540.528549647257
Mini,8532.593920973044
Jaguar,8530.069788444454
Subaru,8516.039062037322
BMW,8513.151622914149
Buick,8502.387866510364
jeep,8495.777194286233
Chevrolet,8485.947113540511
CHEVROLET,8474.358537395623
Tesla,8473.563515620794
Infiniti,8455.925147090857
ford,8425.170709771759
kia,8352.76302195199
Fiat,8351.048316645318
Mercury,8350.153675781015
Honda,8348.338356306824
VW,8346.970711536664
TESLA,8342.12993753183
tesla,8297.6595237455
Chevy,8289.990280986227
SUBARU,8231.871733357002
Kia,8203.21700142339
honda,8070.205330975168
Nissan,8065.1283422147035
FORD,8020.728920076573
TOYOTA,7973.713310532273
ACURA,7968.877809291128
hyundai,7954.764089284493
chevy,7785.664375045753
Volvo,7771.2806497202455
Volkswagen,7762.659967769096
acura,7752.646799273733
dodge,7660.191391429872
HONDA,7571.218552227949
subaru,7509.1001248454795
nissan,7379.850740824853
