feature,importance
mileage_num,23.224770678866474
year_num,17.877799623488848
make,12.081085612897441
vin_prefix,9.514814866528345
model,8.16818328173934
drivetrain,7.823579480679511
is_owner,7.232497710450787
color,5.816303038673416
sunroof,3.411827700435052
title_status,2.784422852382289
transmission,2.064715153858517
