make,pred_price
Ram,9573.222226354384
RAM,9450.10740045654
Hummer,9432.048908438383
Maserati,9411.454222972552
unknown,9410.061411480794
pontiac,9408.959652650738
Freightliner,9388.013979217314
International,9387.215579656335
Land Rover,9371.461891332023
Suzuki,9254.187934545707
mercedes-benz,9211.63731216532
Lincoln,9169.863975792721
Mercedes Benz,9132.504708887102
CHRYSLER,9121.539083289641
GMC,9121.510983351678
Ford,9106.385963165425
Lexus,9059.837699164089
Acura,9029.406549137793
Dodge,9023.952579572622
Toyota,9000.105190208793
Jeep,8985.009278419306
cadillac,8980.273144180916
Jaguar,8961.028657546482
Mercedes-benz,8957.002373476073
Mazda,8948.101296731518
INFINITI,8933.867608452765
Infiniti,8926.161793760499
Pontiac,8924.992705098199
Audi,8906.650152728556
NISSAN,8828.385465064812
toyota,8806.302593804408
Fiat,8747.304930219387
Mercedes-Benz,8745.290495638888
Saab,8738.352762187167
Cadillac,8728.562696663312
chevrolet,8709.808631921665
JEEP,8683.17103984806
BMW,8667.81077164243
Chevrolet,8662.240063889709
Hyundai,8655.609410582185
volvo,8649.024296311538
Chevy,8640.63794207452
Chrysler,8639.250270668026
jeep,8630.885798177143
bmw,8622.427657015543
AMC,8614.744799435259
ford,8593.942339786372
Subaru,8548.778719294341
Scion,8519.196551122172
Mercedes,8476.010767089869
SUBARU,8462.039563817252
kia,8394.939758053522
CHEVROLET,8377.700089132119
Tesla,8326.208813598789
Buick,8315.635457207833
chrysler,8302.818950499879
lexus,8282.238287776561
Mitsubishi,8280.831616217856
mazda,8280.831616217856
Honda,8279.94344430919
Mini,8253.079399883893
Mercury,8225.142192971778
TESLA,8211.682988008011
VW,8206.850433445688
tesla,8176.074645040358
volkswagen,8158.998538442226
chevy,8085.697494363497
Volkswagen,8037.2304839970975
Nissan,7983.678266045307
Kia,7957.582533664841
honda,7906.9664089102835
hyundai,7886.240325566318
FORD,7825.255811065354
acura,7780.034165310306
HONDA,7753.354501152082
subaru,7746.876793527357
nissan,7742.287755742092
TOYOTA,7704.358845036954
Volvo,7698.437298899547
dodge,7677.207296942841
ACURA,7622.7990904142525
