make,pred_price
RAM,9196.99771661968
Hummer,9137.819527873362
Maserati,9094.378674669786
mercedes-benz,9085.45027715368
unknown,9040.47856818268
Suzuki,9036.779917777325
Land Rover,8959.760664763471
Lincoln,8950.237390051085
Jeep,8946.66413459543
CHRYSLER,8941.320033425025
Ram,8939.638040379636
GMC,8928.910808055844
Freightliner,8926.361847583741
International,8922.180210701645
Mercedes-benz,8907.948341067535
Pontiac,8885.782937910133
pontiac,8878.921251242919
Mercedes Benz,8874.006341429971
Lexus,8866.875880167796
Toyota,8819.917302755173
Mercedes-Benz,8778.896615498898
Infiniti,8764.205303907853
Audi,8738.060195869373
Ford,8702.973454198069
INFINITI,8682.914766536904
Mazda,8681.188675954938
Chevrolet,8674.582875804532
Mercedes,8663.636395367776
CHEVROLET,8640.851141376554
chevrolet,8619.904572557012
Acura,8616.034567572819
BMW,8610.445258404621
Subaru,8558.39727988591
Jaguar,8459.980402750003
JEEP,8449.076164073324
cadillac,8410.167401533337
Dodge,8398.209613838288
NISSAN,8388.997292796923
SUBARU,8355.52117149899
bmw,8328.64715294627
Mercury,8311.01555033746
Mini,8278.922793351489
volkswagen,8274.596920004928
volvo,8270.64513878706
lexus,8269.286692613883
toyota,8268.371013604652
chrysler,8266.933776965754
Mitsubishi,8241.745212874363
mazda,8241.620148306718
VW,8232.089095057754
Hyundai,8192.982979640079
Chevy,8191.305829046061
Cadillac,8176.764030057773
Saab,8125.819888557685
ford,8122.733969891837
Honda,8117.509966195609
tesla,8101.509101606561
AMC,8090.8574284509905
Chrysler,8073.864062833451
Scion,8063.643541630656
TESLA,8061.836811618999
Fiat,8060.964414966799
chevy,8044.033048076521
Kia,8043.911419194922
Volkswagen,8025.366789271328
kia,7975.487578227951
honda,7957.134191445817
jeep,7956.873999033352
hyundai,7930.693300016431
nissan,7915.334348711349
Buick,7893.472151249633
FORD,7851.845439867309
dodge,7826.754274459644
subaru,7806.62043484568
Nissan,7785.025183028435
Tesla,7784.388027884974
TOYOTA,7760.824116446384
Volvo,7755.228285867892
ACURA,7674.770360120699
acura,7640.146329615594
HONDA,7567.806097855849
