make,pred_price
NISSAN,9180.21215762266
Mercedes-benz,9061.959011097973
Pontiac,8979.694444964673
Land Rover,8934.627245218455
cadillac,8926.88357574717
CHRYSLER,8860.95386126612
chevrolet,8763.565772558866
Suzuki,8748.957152897303
Toyota,8748.476431119263
unknown,8744.445046268509
RAM,8734.736500999581
Ford,8681.726148789325
Saab,8677.849956229382
Freightliner,8650.576531141041
bmw,8649.091997145279
Lexus,8640.658411495797
chrysler,8639.053460358546
lexus,8633.349260189794
volvo,8627.14202411188
Mercedes-Benz,8624.597546276294
Lincoln,8622.664612188999
Maserati,8621.8689710474
JEEP,8618.172460271408
Mitsubishi,8611.5784071044
mazda,8603.90613156395
Mercedes Benz,8580.747372929121
Hummer,8572.516530919322
Scion,8572.270281748348
AMC,8541.858646837392
International,8540.547643366395
GMC,8535.648953792446
Mini,8517.346668266982
Cadillac,8501.144793399806
Mercedes,8495.549576159827
Ram,8492.90343656182
VW,8491.357555933348
toyota,8480.240382597378
INFINITI,8479.173101093107
pontiac,8471.022141786934
mercedes-benz,8469.368219148359
Mercury,8468.960549590418
Hyundai,8467.843950001221
CHEVROLET,8399.459438270951
SUBARU,8398.357527696067
Fiat,8383.064313630051
Chevy,8376.911398840515
Jeep,8368.096637997089
Jaguar,8355.718459809064
Chevrolet,8346.901584991398
kia,8342.913825429137
volkswagen,8322.352320162447
Audi,8301.893692485693
Infiniti,8291.593505641236
Mazda,8289.475209906594
Dodge,8286.053950212749
Chrysler,8276.076239593604
BMW,8241.594330099693
Buick,8227.279714464647
tesla,8217.571890553698
Kia,8206.665614807283
Acura,8160.923683324369
TESLA,8160.014802030865
Subaru,8150.393288975387
ford,8026.17297940307
Tesla,7979.925893398332
Honda,7905.941371235941
jeep,7903.875255749112
chevy,7846.823182846319
Volkswagen,7836.2176185221515
hyundai,7772.84099264757
FORD,7726.910083678774
honda,7709.911028246136
Nissan,7624.092654687751
subaru,7583.935465911499
acura,7557.558433053821
Volvo,7527.950746099017
TOYOTA,7527.702851635892
ACURA,7511.306510066374
HONDA,7457.942354123648
dodge,7346.347778605656
nissan,7210.356829288702
