make,pred_price
Land Rover,9301.300034341148
unknown,9059.706607693022
Suzuki,9032.823386537471
Maserati,9018.682948146738
Hummer,9014.90083248548
RAM,9004.936616280229
pontiac,9004.005891558585
Freightliner,9001.734442750549
Lexus,8990.353191836819
International,8987.388482669285
CHRYSLER,8961.481759675546
Mercedes-benz,8959.172659857273
Pontiac,8944.803779264841
Mercedes Benz,8937.939240574831
GMC,8888.016663156748
toyota,8886.046603700072
mercedes-benz,8878.1690127931
Toyota,8841.528835961559
chevrolet,8830.535053008822
Jeep,8817.915741274272
Acura,8771.426515333424
BMW,8738.561317713158
cadillac,8737.473687110836
Chevrolet,8732.906097785824
Mercedes,8711.624909371763
Ram,8635.00035208767
Ford,8619.622930001913
Mercedes-Benz,8616.300075613339
NISSAN,8612.400013410217
INFINITI,8608.705648043637
Jaguar,8587.125749140518
Dodge,8541.292782815603
Audi,8539.581476724434
Chrysler,8495.39938138603
Lincoln,8465.000011713075
Subaru,8396.317651746554
CHEVROLET,8361.70968439805
Infiniti,8336.106918237574
Mazda,8327.712472492834
ford,8296.578868732304
Cadillac,8295.905080874563
Hyundai,8255.741420276661
JEEP,8186.3679326713545
lexus,8184.836776903832
chrysler,8183.834182318887
mazda,8161.166674471177
volvo,8157.784847669714
Chevy,8150.879638082831
Mitsubishi,8145.403453335104
Honda,8107.009857020906
jeep,8058.812874180961
Mercury,8021.276661527223
Tesla,7945.359209225136
AMC,7919.347661421882
bmw,7916.593552784398
Saab,7867.785042965877
Scion,7840.759625145117
kia,7774.94719754192
Mini,7748.575211827285
tesla,7733.1440402199305
Kia,7731.503206701424
TESLA,7724.676682688409
VW,7696.098770768843
Fiat,7689.560261864394
TOYOTA,7656.0636609301455
honda,7646.540360502203
chevy,7637.80554768493
SUBARU,7633.293372805366
Nissan,7612.598552427567
Buick,7567.134442270852
subaru,7566.745967372006
acura,7565.371065049663
Volkswagen,7495.210385458127
FORD,7487.076073098069
volkswagen,7380.689217186964
ACURA,7352.983710058155
hyundai,7303.404915366334
HONDA,7294.455546873571
dodge,7253.047191034609
nissan,7078.554314525182
Volvo,7019.822640900051
