make,pred_price
Land Rover,9228.984339680854
Lexus,9021.797708174476
Ram,8962.954195564695
Chevrolet,8949.92129404057
Mercedes-Benz,8944.65450489718
chevrolet,8939.481613492046
CHRYSLER,8935.852355590132
GMC,8931.200116060267
Jeep,8896.891384770472
RAM,8826.766243453627
Toyota,8802.918757353948
Dodge,8770.327844637326
Mercedes-benz,8765.701015619388
toyota,8742.841438825388
INFINITI,8742.566817315308
Subaru,8710.5889426489
mercedes-benz,8666.26547775175
JEEP,8664.685418241306
BMW,8657.937730010848
cadillac,8657.851515703424
Lincoln,8656.135410201996
Acura,8652.97719978499
Ford,8649.72275058675
Infiniti,8644.166370031975
Maserati,8634.274162520567
bmw,8628.175056722268
Freightliner,8619.857844502543
volvo,8604.187112656802
CHEVROLET,8601.544478701802
Chrysler,8585.969490778114
NISSAN,8583.504308332813
Audi,8580.692115687634
Jaguar,8575.529689407553
unknown,8575.212239985183
Hummer,8554.678302046857
Mercedes Benz,8551.874709601589
ford,8546.72294075855
Pontiac,8533.210331445305
Mercedes,8472.092016080464
chrysler,8447.80495451638
Cadillac,8429.960326024586
International,8426.8599292398
Mazda,8421.695210313323
mazda,8421.353384614637
Saab,8407.947093360926
Mercury,8405.510619986004
lexus,8403.41883776589
Mitsubishi,8393.685406619898
VW,8386.688980243776
SUBARU,8347.218429935538
pontiac,8304.27618066977
Mini,8293.118150972907
Fiat,8276.059566482629
Suzuki,8256.243922049387
jeep,8240.10511354656
Chevy,8228.375063238149
AMC,8171.387421395895
volkswagen,8166.146153461871
hyundai,8151.231848024842
TOYOTA,8149.433316147249
Hyundai,8139.090868828749
tesla,8134.290149902497
Buick,8129.695363593497
honda,8116.3476446634495
TESLA,8059.602959556743
Kia,8054.0562102979
chevy,8039.584548169343
Scion,8005.575856249643
Tesla,8004.248502054992
subaru,7944.045676067451
FORD,7930.206786524014
kia,7890.2774709629475
Volvo,7866.711875878244
Volkswagen,7858.80916832864
Nissan,7850.136924498061
ACURA,7848.650559863898
dodge,7808.166836829866
Honda,7727.151339205856
acura,7691.619559568764
HONDA,7620.18226454056
nissan,7576.001197658987
