make,pred_price
Land Rover,9621.796096904916
Mercedes-Benz,9043.541097551908
Chevrolet,8995.983086599845
GMC,8993.567568443705
Jeep,8962.081547780565
Ram,8961.675734404103
Lexus,8939.355373213592
Ford,8925.354020874534
chevrolet,8911.415500606527
RAM,8898.41027536928
unknown,8825.308357764172
Toyota,8807.378203008278
Freightliner,8804.896106510438
CHRYSLER,8804.386277200894
mercedes-benz,8802.835720280467
Maserati,8777.582071981158
Mercedes Benz,8754.440296876222
Jaguar,8742.231579730658
Infiniti,8704.079466866817
Mercedes-benz,8699.738505655754
INFINITI,8698.386532862161
Dodge,8693.403349417144
International,8681.597902328633
Hummer,8675.20123786101
Audi,8654.954987905472
toyota,8610.864293302639
BMW,8601.426368876913
Mercedes,8592.175743120548
pontiac,8584.181320155034
Suzuki,8575.518538972823
Lincoln,8563.48915654011
Cadillac,8538.770443426178
cadillac,8517.33223118703
Subaru,8495.45402117232
Pontiac,8488.826058090051
Mazda,8457.643257343718
NISSAN,8448.054695918066
Acura,8421.58019249678
ford,8419.711662822767
Chrysler,8384.895493493146
Hyundai,8315.110939055632
jeep,8286.313217748982
Chevy,8265.388408772695
JEEP,8262.27569264827
volvo,8249.985483248995
CHEVROLET,8244.790480917507
bmw,8198.791134410005
volkswagen,8190.688515325305
Mercury,8183.411173268297
chrysler,8179.68352091453
Saab,8176.684279721494
Mitsubishi,8160.991960583595
lexus,8150.978478048706
mazda,8146.001930850719
Kia,8140.860868858537
Scion,8107.159779217753
VW,8087.144642563292
AMC,8077.146556464892
Buick,8055.436786112309
honda,8055.4312583768005
Mini,8053.701306111562
SUBARU,8046.859914702244
chevy,7999.743947328111
Tesla,7982.297150021843
TESLA,7977.301804502736
tesla,7959.155473356168
Fiat,7948.7110217105055
subaru,7919.568040055065
hyundai,7884.016029567485
Nissan,7861.131613188352
kia,7844.274045832071
acura,7807.099704679543
Volkswagen,7761.13892956236
Volvo,7759.748811993398
TOYOTA,7680.45620373231
FORD,7663.562270016946
Honda,7653.894929323657
HONDA,7474.403883419726
ACURA,7470.5448531790125
dodge,7464.514195663804
nissan,7377.1271608134075
