make,pred_price
Land Rover,10048.88304367715
Lexus,9448.746081264731
Ram,9437.594340515938
CHRYSLER,9429.188284455771
Mercedes-benz,9425.370972936227
unknown,9269.75040822188
RAM,9254.782834884476
Freightliner,9231.99735145428
Mercedes Benz,9226.167466187657
Pontiac,9212.037284849048
Hummer,9192.839616169453
Maserati,9159.837724570969
GMC,9115.795192944242
Jaguar,9104.483351751476
INFINITI,9101.503538291368
Jeep,9093.891664509383
mercedes-benz,9091.838023926797
Lincoln,9065.259415325969
NISSAN,9064.517514758609
Suzuki,9058.937081718455
pontiac,9032.086483235755
International,9028.238223876733
Mercedes-Benz,8967.779311051474
cadillac,8946.848899454366
chevrolet,8927.10774385823
Ford,8925.958359331918
Toyota,8890.465932422918
Cadillac,8866.092697561387
Audi,8855.9897955281
Mazda,8845.008532674763
Dodge,8827.667133652896
Subaru,8808.475698720324
Chrysler,8750.813475636522
toyota,8750.5339678262
Infiniti,8729.355816437235
BMW,8725.87358745223
Chevrolet,8722.696730412239
Acura,8720.209857106413
Mercedes,8670.364698545087
JEEP,8610.896005017326
Hyundai,8594.208691114838
bmw,8589.745894482456
volvo,8565.427378844635
jeep,8543.558200982867
chrysler,8525.9547114626
lexus,8519.47307627631
mazda,8495.353487559307
Mitsubishi,8495.353487559307
Saab,8469.79688614307
ford,8436.319855157019
Mini,8367.734944232594
AMC,8362.34669973709
Scion,8324.146724264121
CHEVROLET,8293.124514771753
Mercury,8228.731962580068
VW,8149.197080621073
SUBARU,8142.059480946304
kia,8137.65818047101
Tesla,8121.622745897569
Chevy,8103.838275688208
volkswagen,8102.2799095351265
chevy,8096.552015121989
Volkswagen,8043.563449434201
Fiat,7985.547233346236
Buick,7953.5788685860325
FORD,7939.145940482011
Kia,7926.275272331263
Honda,7917.256485145861
honda,7914.239269733941
Nissan,7838.261184650307
TOYOTA,7819.654007538174
TESLA,7812.907943927453
tesla,7811.914300744596
dodge,7800.173140287775
subaru,7798.486837051754
Volvo,7792.234384068302
nissan,7770.573871838609
hyundai,7769.9046052403855
ACURA,7727.551357294258
acura,7488.861133072434
HONDA,7463.471023701961
