make,pred_price
Land Rover,9223.49249013008
Toyota,8914.514870601999
Ram,8879.391429046545
Lexus,8732.911068115283
RAM,8695.338422670548
Dodge,8647.181772135842
Hummer,8634.224878638752
mercedes-benz,8622.456270397166
Ford,8621.4108308912
unknown,8583.474296802153
AMC,8566.79343833565
Freightliner,8560.49124416496
Maserati,8528.59281415461
Mercedes-benz,8522.529365179373
INFINITI,8498.959563030963
Suzuki,8478.131741605886
Scion,8476.880797371503
toyota,8474.378332075932
cadillac,8466.619442423187
JEEP,8452.39309836792
Mercedes-Benz,8432.977796626219
CHRYSLER,8432.075877082596
lexus,8429.816706379428
NISSAN,8426.628141907093
bmw,8424.90019469204
chrysler,8416.713048848771
Lincoln,8396.823435183067
Jeep,8392.910637655
GMC,8391.53647812148
volvo,8371.007972505493
Mitsubishi,8366.673099318075
Saab,8364.065877479985
mazda,8362.83734278214
kia,8336.788927547328
International,8325.157954071576
chevrolet,8319.776402342162
Hyundai,8292.594122955697
Pontiac,8283.186414144302
Mercedes,8240.248791797983
jeep,8234.199237124176
Chrysler,8218.623337235187
pontiac,8207.792868629753
Chevrolet,8183.828070682662
Acura,8182.551175666761
Kia,8179.7621139764315
Mazda,8172.022755645056
Buick,8158.03795558644
Mercury,8152.875872838839
Cadillac,8148.599786679892
Audi,8145.929255348041
Mercedes Benz,8144.492824923928
BMW,8140.317034331238
VW,8137.019982407504
Mini,8113.308730813262
Chevy,8104.647853286885
TESLA,8097.34453987099
ford,8070.252747487281
Fiat,8065.067954959726
volkswagen,8061.311870101418
CHEVROLET,8054.200909331943
tesla,8047.52747960899
Jaguar,8045.598107250185
Subaru,8003.044230045688
Infiniti,8002.209357130154
SUBARU,7999.307258465485
Tesla,7879.396558813275
chevy,7819.245425766185
TOYOTA,7687.397312137853
Honda,7678.1193949622475
honda,7670.425751324906
ACURA,7594.36178163231
Nissan,7559.032403921364
FORD,7538.699751474002
subaru,7517.644200799538
Volkswagen,7486.621266770007
hyundai,7466.513827147662
HONDA,7457.938117493645
dodge,7396.211660752932
Volvo,7379.183762455027
acura,7336.683528015878
nissan,7090.057179930492
