make,pred_price
Mercedes-benz,9562.773758194953
Suzuki,9460.597499600593
Pontiac,9446.351432628791
RAM,9330.596795046784
Land Rover,9260.241442140803
CHRYSLER,9259.45147502387
Freightliner,9238.420188903028
Hummer,9210.329592685273
International,9175.463876980835
Maserati,9138.12005317203
unknown,9115.58275441307
Lincoln,9073.774914975415
Lexus,9061.875168545597
Ram,9038.98986934336
pontiac,9034.06660213611
mercedes-benz,9009.885476636517
Mercedes Benz,8940.296431273651
Jaguar,8875.632809891375
chevrolet,8848.847896361933
INFINITI,8838.249995025493
Audi,8833.539735586033
Acura,8828.400687899919
Chevrolet,8771.494600265249
BMW,8725.55600821088
cadillac,8700.721913123076
Toyota,8682.61271951233
CHEVROLET,8670.324353493399
Chevy,8669.096501925773
GMC,8664.544341904031
Mercedes-Benz,8660.874275369137
Dodge,8620.336932843049
Infiniti,8613.187312653943
Mercedes,8542.445328123573
Kia,8536.941178279538
toyota,8528.740510043011
Chrysler,8526.459744111433
Cadillac,8522.177817137605
Mazda,8510.843750937944
Jeep,8489.270045968791
Mini,8488.623484778444
Ford,8481.28457204758
SUBARU,8463.389166562309
Buick,8457.84439564154
NISSAN,8456.891753881033
honda,8451.688688183705
tesla,8442.478482501727
volkswagen,8440.87302927725
Hyundai,8437.848288735757
hyundai,8437.64443953685
VW,8427.749973213195
TESLA,8406.30824054361
Mercury,8400.954513709105
JEEP,8393.92552591849
chrysler,8391.454625380522
Tesla,8388.459679094463
ford,8382.524330279386
Fiat,8381.751053563674
Volkswagen,8376.282342134267
lexus,8349.849512730363
mazda,8347.82791155637
Mitsubishi,8345.524515548594
volvo,8329.57084070454
bmw,8324.12050016803
Scion,8281.668334431804
jeep,8277.669642566576
kia,8267.325146623622
chevy,8251.293883805902
Saab,8216.515393089636
acura,8203.600390039479
Subaru,8195.913227351797
AMC,8188.9541077142585
FORD,8183.277651140954
Honda,8152.5071471939655
dodge,8142.005443333097
TOYOTA,8133.296466012801
HONDA,8086.4732106548745
ACURA,8073.446019181382
nissan,8067.326297017182
Volvo,7931.089101768381
subaru,7925.568617064284
Nissan,7816.166851690309
