make,pred_price
Land Rover,9684.653443546069
RAM,9671.107726601884
Freightliner,9668.529895411102
International,9638.638603804746
Lincoln,9599.577218059207
unknown,9567.654333165925
cadillac,9536.582600222495
Maserati,9501.486087449777
Hummer,9461.22071449216
Mercedes-benz,9454.764448668366
CHRYSLER,9428.724526324693
pontiac,9418.528550894134
Suzuki,9414.592472065642
Mercedes Benz,9404.180313061486
NISSAN,9397.938217976662
Ram,9394.219513537579
Pontiac,9350.317418861327
mercedes-benz,9302.867263881082
Acura,9284.049695960382
GMC,9180.995278192291
volvo,9146.435261695204
Jaguar,9144.42660355944
JEEP,9142.309953980553
Mercedes,9140.245991602369
bmw,9134.238112006105
Infiniti,9113.091216499271
INFINITI,9100.182086873521
Mazda,9093.091146235662
chevrolet,8986.893235770454
Lexus,8986.189205353243
Buick,8935.957798704418
AMC,8910.276139074083
toyota,8865.708325433307
SUBARU,8855.938473505954
volkswagen,8854.805942381621
mazda,8851.396648394262
chrysler,8849.777799419624
Mitsubishi,8847.877782265427
lexus,8833.772036392862
Jeep,8816.021246940774
Toyota,8815.058952216137
Scion,8806.606845437653
Mercedes-Benz,8786.175754550151
kia,8783.857083864421
Saab,8773.97676545404
Chrysler,8756.1992214705
VW,8741.79963645124
Cadillac,8733.206470714116
jeep,8724.538332641298
Ford,8714.972455203246
Mercury,8695.140975808717
Mini,8608.811029106031
Fiat,8604.339034541288
BMW,8506.373116568653
Audi,8506.137398472812
Chevy,8486.384374952137
Subaru,8451.926560813255
CHEVROLET,8425.88148563928
tesla,8404.038075443665
TESLA,8370.733362638819
HONDA,8356.372186752948
Tesla,8342.17069536791
Chevrolet,8340.495587304496
chevy,8336.54593431971
Volvo,8316.788453340003
Dodge,8278.34107623788
Hyundai,8276.333312042547
ford,8211.322321714417
Kia,8202.533315386316
dodge,8110.378214319337
honda,8060.549806801184
hyundai,8047.172090962254
TOYOTA,8010.019752471313
Volkswagen,7976.105898142101
ACURA,7967.727901235124
FORD,7966.556199951333
subaru,7944.600153996263
nissan,7892.038163790453
acura,7863.880580842626
Honda,7852.164783206396
Nissan,7699.716262926531
