make,pred_price
Land Rover,9748.76749196273
Ram,9382.090291050183
Lexus,9219.184623936857
RAM,9186.937518631503
GMC,9183.753577470461
Mercedes-benz,9180.731814583914
Suzuki,9166.543061050483
INFINITI,9105.886045289002
CHRYSLER,9104.738056022316
Freightliner,9047.189140922374
International,9044.48246919769
Maserati,9017.745247250965
Jeep,9014.960987260543
unknown,9014.53422416174
Mercedes-Benz,8990.824506166833
Toyota,8988.454391159645
Pontiac,8983.257154984401
Audi,8951.386376058847
Lincoln,8929.806088932008
Acura,8923.182296825029
Hummer,8922.121685867387
Jaguar,8914.97958836967
Ford,8914.168723561947
pontiac,8822.270409604955
mercedes-benz,8811.933444319608
Chevrolet,8799.921228296182
Mazda,8792.169881646536
Mercedes,8770.910129573043
BMW,8746.456615941319
Mercedes Benz,8739.219667080612
Subaru,8702.19324393698
Infiniti,8698.0986807124
chevrolet,8666.041753321133
CHEVROLET,8664.924373139149
NISSAN,8638.443884876659
cadillac,8625.665060897383
Dodge,8614.265125235137
Chrysler,8574.180872133964
Cadillac,8562.866140515784
toyota,8535.480428871546
JEEP,8458.755954184635
bmw,8437.125313956029
Saab,8421.667400549637
jeep,8411.625672739357
lexus,8407.93009477286
Scion,8388.61609318972
volvo,8374.23337731652
chrysler,8365.340490025374
Mini,8349.33742763864
mazda,8343.489019354163
Mitsubishi,8324.862803858508
AMC,8244.11478724053
Hyundai,8229.274839296888
ford,8199.805413602431
Fiat,8179.792021766096
Mercury,8149.977011009299
volkswagen,8147.104174136816
Chevy,8145.540839142524
Buick,8136.745465928767
VW,8126.727797529333
Tesla,8116.11096639879
SUBARU,8084.603857453567
tesla,8057.219733538523
Kia,8043.771988204939
TESLA,8040.518848908547
Honda,8002.389786188817
honda,7878.845579019917
kia,7874.424634962778
chevy,7836.611921476802
hyundai,7696.041882038814
Nissan,7652.045534136334
TOYOTA,7631.667311331738
FORD,7592.2791165438275
ACURA,7573.129340250299
nissan,7502.05153113544
Volkswagen,7492.500043559382
dodge,7490.195130840842
acura,7489.984789134566
subaru,7370.412978996255
Volvo,7368.114272499022
HONDA,7233.491078014308
