make,pred_price
Land Rover,9417.497744244607
Lexus,9415.641758760856
RAM,9286.643662455706
Mercedes-benz,9286.261059512848
Hummer,9281.371793291217
Maserati,9207.042222108681
Ram,9103.277244728244
Mercedes-Benz,9097.428830202847
Lincoln,9066.787867431778
Suzuki,9031.096451817657
mercedes-benz,9030.306589033862
unknown,9016.564106016936
CHRYSLER,8974.420439022839
Freightliner,8972.569544474147
Mercedes Benz,8951.69260368426
International,8933.70914116371
pontiac,8924.865125380358
chevrolet,8913.391453374084
Pontiac,8881.373272755136
GMC,8878.56575908419
Ford,8874.692590628498
Acura,8846.784726267852
cadillac,8825.706515639222
INFINITI,8823.548910432006
Audi,8799.249380595464
Mercedes,8775.433220369563
Jeep,8766.491669021947
Dodge,8716.55051658183
Jaguar,8710.233343575801
toyota,8699.856160571004
BMW,8688.016238545368
Cadillac,8686.751508698298
NISSAN,8674.875692890266
Toyota,8646.904862192787
Infiniti,8609.908295369505
Mazda,8553.493250059977
CHEVROLET,8532.806402336362
Chevrolet,8475.437016253403
Tesla,8398.644397606782
Chrysler,8346.563957965222
Subaru,8345.762576871894
Chevy,8260.655015467535
Honda,8257.761486452535
lexus,8189.840108371708
bmw,8176.180594800682
JEEP,8165.325441817081
chrysler,8149.94968759374
mazda,8145.444012636826
Mitsubishi,8145.444012636826
AMC,8142.237556983678
Buick,8131.938871889216
volvo,8131.8585365349945
Hyundai,8109.089916841024
ford,8101.541903414124
jeep,8090.22530946294
Scion,8003.555270317301
Kia,8001.772715849063
Saab,7996.4923683143115
volkswagen,7927.099812081766
Mini,7658.465473051893
chevy,7627.056211411651
Volkswagen,7624.358821843886
Mercury,7568.370855374201
VW,7553.072696784203
SUBARU,7538.128848073095
Nissan,7522.901730159663
kia,7472.922304743768
tesla,7299.439787447546
TESLA,7286.125977235955
Fiat,7275.412167836674
hyundai,7235.470379643652
TOYOTA,7215.338333594087
ACURA,7162.499965902918
FORD,7139.23626777755
honda,7070.198879296919
Volvo,6986.377199564777
subaru,6969.3870749351645
nissan,6935.3962125711305
HONDA,6918.263912102513
dodge,6862.629597304745
acura,6822.748935269184
