feature,importance
mileage_num,20.364288134301674
year_num,13.727129133133493
make,12.12960755739415
drivetrain,9.434881686665191
model,8.66105787462609
color,8.593575315564355
vin_prefix,8.007470374022452
is_owner,7.543473287891136
sunroof,4.846156113538278
title_status,3.7552010612936697
transmission,2.9371594615694936
