make,pred_price
chevrolet,8996.263304931108
RAM,8971.537623132826
Mercedes-benz,8955.793346912778
cadillac,8913.906654136932
Land Rover,8840.954691654108
mercedes-benz,8823.291257615652
Hummer,8817.488180181568
Dodge,8795.7242252317
Maserati,8791.704375528581
Mercedes,8784.242797778768
Lexus,8781.545994272557
Lincoln,8781.428487857183
Mercedes-Benz,8758.398729728295
Ford,8758.386799486287
Suzuki,8740.994398319384
Freightliner,8731.778649456202
GMC,8722.821980297855
JEEP,8717.272188237655
volvo,8710.886015995373
Ram,8710.815420831183
Mazda,8684.773500600671
bmw,8679.269085097423
Pontiac,8671.88087997856
International,8662.936128584704
Chrysler,8649.523081542788
Saab,8645.272862368305
Mini,8643.953625872067
CHRYSLER,8627.189433352381
ford,8623.676241497957
Acura,8608.498558486785
Infiniti,8586.465331792446
Jeep,8575.3033680492
VW,8570.90088664328
Mitsubishi,8570.830905238718
Toyota,8570.679189227292
NISSAN,8568.855209386025
chrysler,8566.596010189834
unknown,8564.18720703301
toyota,8556.480080692649
lexus,8547.341896807657
mazda,8546.90468985768
Mercury,8540.716298756593
Cadillac,8537.336003693365
SUBARU,8534.597691288547
volkswagen,8530.815754537498
Hyundai,8514.710780564568
Fiat,8510.200762787434
Chevrolet,8491.09069628785
Mercedes Benz,8485.246013533462
CHEVROLET,8457.419710481272
pontiac,8451.672000400295
BMW,8448.743291510213
INFINITI,8433.61507820041
Chevy,8431.098846122006
AMC,8397.93189264813
Jaguar,8394.264376997775
Audi,8361.66911846786
Scion,8342.950454910082
Buick,8276.156079492494
kia,8251.169679766876
TESLA,8249.549487291833
tesla,8241.160517150229
Subaru,8222.664439162225
Kia,8217.33747599737
Tesla,8197.275812304531
jeep,8188.6130301921885
chevy,8188.292239736732
TOYOTA,8095.07621080524
honda,8074.839288302543
FORD,8069.6349087609815
ACURA,8059.916250576926
hyundai,8012.708049952863
acura,7993.225228791288
dodge,7965.0609102504795
HONDA,7950.458903038499
Volvo,7869.500060036903
Volkswagen,7847.177742339196
Honda,7818.269493242106
subaru,7802.225301435822
Nissan,7779.675769661483
nissan,7627.099040345295
