make,pred_price
chevrolet,9571.622998443625
Land Rover,9541.562221910428
toyota,9344.712578267316
Mercedes-Benz,9316.537382992125
GMC,9251.668289501518
Lexus,9162.690751920842
Mercedes-benz,9142.83770321209
Dodge,9068.975354980332
Jeep,9030.916877766937
Ram,9027.446607939299
cadillac,9026.820202575766
Toyota,9018.04756020563
Infiniti,8990.622397638987
Cadillac,8986.36159613206
Acura,8954.462235168836
Pontiac,8951.29560636723
Jaguar,8942.935787592894
Chrysler,8933.347787004495
NISSAN,8926.089802857896
INFINITI,8921.003996507763
Mazda,8882.83959949381
unknown,8881.565418423615
RAM,8839.993284027874
CHRYSLER,8836.343380235832
mercedes-benz,8835.801412983326
Mercedes Benz,8807.589174280121
Maserati,8761.289230678685
Buick,8737.543068840694
JEEP,8735.522021957695
Audi,8712.02124347521
jeep,8706.909931203238
Ford,8706.821099473604
honda,8705.908521178017
CHEVROLET,8703.870737894265
Lincoln,8699.273699819336
BMW,8673.98231670874
Chevrolet,8667.219466270059
SUBARU,8654.70368408632
bmw,8648.95192969722
Mercedes,8630.61726076932
volvo,8624.682559439672
Suzuki,8600.677178438733
Subaru,8596.138222116706
chevy,8594.85606349037
Mercury,8589.771416351647
AMC,8587.550323443726
volkswagen,8572.620419142027
ford,8572.040137040058
lexus,8529.967570858988
Saab,8527.53609883977
Hyundai,8523.880600504628
VW,8519.18952219287
kia,8512.98942686233
Mini,8507.064433968575
Freightliner,8490.739214491221
chrysler,8487.356571770071
Mitsubishi,8472.817441708034
mazda,8467.883128659765
acura,8432.364113431893
International,8427.307485963333
Scion,8407.70673460578
tesla,8403.310259561998
Hummer,8398.857389994097
TESLA,8336.830551826471
Fiat,8335.456204204002
Volvo,8289.330892649017
pontiac,8232.101576057385
hyundai,8229.044317829752
dodge,8216.290198227889
HONDA,8215.506760661507
Kia,8211.252932148429
Tesla,8205.57899643893
Chevy,8205.446897265863
Honda,8132.155993432502
TOYOTA,8105.997426979041
Volkswagen,8085.070999296011
FORD,8060.161396862365
ACURA,8041.42291608792
subaru,7965.329007351328
nissan,7920.932135110436
Nissan,7650.7330674924715
