make,pred_price
Land Rover,9289.590615220815
Mercedes-benz,9244.45126300303
RAM,9191.190591596007
Suzuki,9145.152528996963
Hummer,9120.480569167545
Maserati,9114.318964400645
unknown,9111.394774250279
Freightliner,9107.21908049213
Pontiac,9054.949111493332
Mercedes Benz,9001.489613095146
International,8992.783830061788
mercedes-benz,8949.761151129253
pontiac,8946.767384850264
CHRYSLER,8924.348339564454
Ram,8917.733862723562
Lexus,8822.996408160267
cadillac,8798.76373062423
Lincoln,8793.288779701938
Toyota,8765.546506250357
INFINITI,8709.328009906674
GMC,8668.562491829143
Jaguar,8652.852045467469
Mercedes,8643.520953332447
Jeep,8635.327731077083
toyota,8623.224215051094
chevrolet,8622.956459819954
NISSAN,8590.541434390238
AMC,8568.41777992943
Mercedes-Benz,8567.817362510641
Saab,8553.511152957262
Mazda,8522.833845846164
bmw,8520.901103173555
JEEP,8510.841483800348
ford,8508.70264172721
volvo,8489.255816496487
Acura,8486.094750135573
Scion,8479.895282608888
Cadillac,8476.657037751003
Hyundai,8476.207668175703
Dodge,8445.868643567706
CHEVROLET,8434.790765417953
Kia,8429.313176146241
Tesla,8418.6403481284
Chevrolet,8408.467685702417
lexus,8385.09977916474
volkswagen,8384.002646114997
Chrysler,8377.401547342211
mazda,8373.783140729916
Mitsubishi,8373.584541842163
chrysler,8372.546890901724
Mini,8354.295205330738
jeep,8346.945703926767
Infiniti,8340.468993868346
Audi,8312.876027710177
chevy,8293.713833586085
BMW,8279.213068374334
Fiat,8267.933601808625
Chevy,8259.295466125082
Ford,8191.568006632701
Buick,8189.519088362088
VW,8169.75299516959
Mercury,8167.109846630044
TESLA,8166.501914915867
SUBARU,8158.07386354925
honda,8156.074984058232
tesla,8152.825063961186
kia,8115.59951974044
Volkswagen,8075.806998092171
Subaru,8074.84210240757
acura,7948.625551687745
Honda,7912.009749242683
subaru,7865.66870597268
dodge,7845.856327589969
Volvo,7842.976388661362
HONDA,7841.554781326712
Nissan,7741.535226694543
hyundai,7679.876323705194
TOYOTA,7672.18278428268
ACURA,7626.6239979032025
FORD,6748.095534640546
nissan,6681.596721074948
