make,pred_price
Land Rover,9815.242631366445
Ram,9362.390235417513
mercedes-benz,9294.916425893027
Mercedes-benz,9281.755486441109
Lexus,9272.227537181521
Pontiac,9209.733043941018
CHRYSLER,9182.234565078326
Mercedes Benz,9180.68387704009
INFINITI,9056.66310990831
GMC,9035.694724389137
Ford,8999.258142707044
Jaguar,8983.483036099447
Acura,8911.839878270135
BMW,8896.732465924828
unknown,8885.68880239282
NISSAN,8808.32118086339
chevrolet,8790.80273500477
RAM,8776.700133164088
Maserati,8752.50082635374
Mercedes,8741.411606773854
Audi,8722.146325710102
Suzuki,8721.153212012396
Mercedes-Benz,8696.025359253877
Chevrolet,8684.971470563525
Infiniti,8678.715215046677
CHEVROLET,8676.883369572708
Jeep,8675.104063352386
Freightliner,8662.241318701526
Lincoln,8660.162012565432
toyota,8637.20979243313
Mazda,8627.194579108243
International,8606.712968311132
Dodge,8602.097485930135
Hummer,8590.989095355564
pontiac,8584.82416753998
Subaru,8555.837637831655
Cadillac,8548.209633758954
Chrysler,8532.999804818035
Hyundai,8514.29225827079
Toyota,8487.828719487412
cadillac,8419.41505091927
jeep,8402.919988277918
Tesla,8314.83994956291
JEEP,8193.595669617122
ford,8178.510547427317
volvo,8114.474502739372
bmw,8099.90692380943
lexus,8096.426917764262
chrysler,8084.765836326621
Mitsubishi,8047.162134272912
mazda,8043.59556402744
Buick,8000.790941415782
Mercury,7940.559798573934
Honda,7920.2577262709265
AMC,7916.1179709498465
Scion,7879.718720128492
Saab,7877.408560625277
SUBARU,7863.038011776679
VW,7860.935973792991
Fiat,7836.222915605922
Mini,7835.389814112015
volkswagen,7828.384896316802
chevy,7799.695639691375
kia,7795.19722847028
tesla,7789.829540329554
Chevy,7767.4072768108745
TESLA,7762.463234345641
Kia,7668.491981603657
Nissan,7632.585254951275
Volkswagen,7589.952164443047
TOYOTA,7539.376320309972
hyundai,7525.775646648409
ACURA,7412.523728428821
FORD,7363.753449874746
honda,7261.9356620725985
dodge,7219.2181639536875
subaru,7205.176853978736
Volvo,7133.818499052363
acura,7094.917371145195
HONDA,7082.48481859419
nissan,6958.770602723884
