make,pred_price
Land Rover,8911.569517461825
Mercedes-benz,8900.27422087813
unknown,8889.21889742495
GMC,8882.190199969362
cadillac,8860.182827898834
Ram,8857.02783718795
Jeep,8812.17160700391
RAM,8809.282732572126
Pontiac,8799.082187395006
Freightliner,8795.212907004177
Suzuki,8788.470028357297
Mercedes,8788.317790695814
CHRYSLER,8772.715550244697
Saab,8772.377165509324
Lincoln,8756.999253309486
chevrolet,8743.441924062321
Maserati,8734.52453957449
Mazda,8730.81632526478
Chevrolet,8715.958593174451
Mercedes Benz,8715.77478411977
mercedes-benz,8711.358727243372
bmw,8709.812167933354
Lexus,8676.64760385756
International,8676.374078157995
JEEP,8671.437206783707
Hummer,8666.961755478984
Toyota,8666.324922671387
volvo,8660.05413966619
Mercedes-Benz,8656.884710584953
Audi,8643.981226082466
NISSAN,8636.584208356662
Infiniti,8634.175024054388
pontiac,8631.045097206015
CHEVROLET,8625.0829983174
toyota,8597.287796768553
Subaru,8586.676428542922
AMC,8571.42213754627
lexus,8564.116339345412
Cadillac,8561.95888283058
INFINITI,8555.019679435929
Acura,8554.75479070747
Fiat,8550.00358306156
Chevy,8539.14491157803
Mini,8524.168106297355
Hyundai,8523.463576600157
chrysler,8515.857792607914
mazda,8510.604744159378
Mitsubishi,8509.342767475475
BMW,8502.089254737588
VW,8482.524136663455
Mercury,8462.902197221221
Jaguar,8462.35050692466
SUBARU,8453.449262509912
Chrysler,8441.454445607756
Scion,8440.291815350378
Dodge,8417.079340241453
kia,8407.58328121826
Kia,8406.950413809904
volkswagen,8383.35350675683
Ford,8350.46282029532
TESLA,8348.410781110226
tesla,8334.39104147375
ford,8317.933143519134
Tesla,8206.10809937285
TOYOTA,8185.569713348789
jeep,8182.529755822899
ACURA,8169.842184020294
FORD,8150.026813057936
Buick,8081.117287177166
hyundai,8066.42257611809
honda,8035.358098137607
chevy,8011.176265189696
Honda,8008.530860405353
acura,7946.833086136735
Nissan,7946.749699707514
Volkswagen,7876.939613116713
subaru,7857.643423701197
dodge,7842.89314332397
HONDA,7761.401064169941
Volvo,7746.823130589382
nissan,7529.4256333315025
