make,pred_price
Land Rover,9374.024755496606
Mercedes-benz,9256.173192921444
Ram,9166.1482094536
Mercedes Benz,9136.595629703945
CHRYSLER,9122.226026431215
mercedes-benz,9027.832952886962
RAM,9008.858943471436
Pontiac,8992.197079301315
Lexus,8983.077965747701
Maserati,8965.56687418951
INFINITI,8911.307645800025
GMC,8861.451834734526
unknown,8859.202660355046
Hummer,8857.066334722967
Acura,8833.569074018758
Suzuki,8831.56843931435
Lincoln,8801.705265013296
Jaguar,8790.77732494181
International,8760.145429319537
Freightliner,8749.28050692317
pontiac,8710.096850677419
Mercedes,8654.08252602503
cadillac,8634.505570983278
NISSAN,8633.880174839242
chevrolet,8630.159346133154
BMW,8613.356032095639
Toyota,8599.397767884173
Ford,8585.844735847453
Audi,8568.314543113787
Mercedes-Benz,8526.050442774509
Mazda,8524.236044690522
Jeep,8519.405181945704
Infiniti,8496.752913351418
toyota,8496.42076784431
CHEVROLET,8479.68699785769
Chevrolet,8479.296115622925
Cadillac,8461.007858553592
JEEP,8409.371995641965
Chrysler,8405.355051068547
volvo,8371.82553597062
Dodge,8346.295807437878
Hyundai,8308.47740166134
Saab,8304.338557900397
bmw,8277.366184109229
Mitsubishi,8266.54935848676
mazda,8266.54935848676
Subaru,8262.637232696792
lexus,8254.036091818683
chrysler,8213.177869546795
Chevy,8207.031096247156
ford,8190.463743671948
Tesla,8176.6092946751005
jeep,8137.5884179244085
AMC,8084.961711613113
Mercury,8069.245149063681
SUBARU,8062.2520824234825
Mini,8060.380969634594
Kia,8007.089122610476
volkswagen,8004.44428994878
VW,7985.603057269289
Honda,7977.620982293404
Scion,7968.127661919038
Fiat,7954.3030738916605
Volkswagen,7916.323440745945
Nissan,7858.938645674134
Buick,7853.962979303769
tesla,7850.371232496147
TESLA,7816.927735129653
hyundai,7810.013211162901
TOYOTA,7802.340408277755
chevy,7794.642816663861
kia,7747.666772946842
FORD,7710.668337832759
ACURA,7667.9189928361775
dodge,7558.762507094949
subaru,7549.767771556512
nissan,7540.509176728517
HONDA,7469.209190954729
honda,7451.918953725441
Volvo,7393.509065270547
acura,7392.1672606618895
