feature,importance
mileage_num,17.34923175760745
year_num,13.116109884911017
make,12.620875118708238
vin_prefix,11.627362739736824
drivetrain,8.903639113579848
color,8.144253617311483
is_owner,7.4610465587014625
model,7.118092833816194
title_status,4.837414177355014
sunroof,4.8140828994751885
transmission,4.007891298797264
